Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Southington Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cheshire,southington,43069,https://www.ewg.org/tapwater/system.php?pws=CT1310011,9,22 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C4-Dioxane;Barium;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrite;Strontium;Uranium;Vanadium,2012-2017,Surface water
Torrington Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Harwinton,litchfield,37915,https://www.ewg.org/tapwater/system.php?pws=CT1430011,6,20 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Barium;Chlorate;Chromium (total);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Strontium;Vanadium,2012-2017,Surface water
University of Connecticut - Main Campus,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mansfield, Connecticut,27199,https://www.ewg.org/tapwater/system.php?pws=CT0780021,8,16 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Bromoform;Chlorate;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Strontium,2012-2017,Groundwater
Valley Water Systems%2C Inc.,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bristol,farmington,18231,https://www.ewg.org/tapwater/system.php?pws=CT1100011,8,18 ,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);1%2C1%2C1-Trichloroethane;1%2C4-Dioxane;Chlorate;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Strontium;Uranium;Vanadium,2012-2017,Groundwater
Wallingford Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,North Haven,wallingford,37267,https://www.ewg.org/tapwater/system.php?pws=CT1480011,7,59 ,1%2C2%2C3-Trichloropropane;Bromodichloromethane;Chloroform;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);1%2C1%2C1%2C2-Tetrachloroethane;1%2C1%2C1-Trichloroethane;1%2C1%2C2%2C2-Tetrachloroethane;1%2C1%2C2-Trichloroethane;1%2C1-Dichloroethane;1%2C1-Dichloroethylene;1%2C1-Dichloropropene;1%2C2%2C4-Trichlorobenzene;1%2C2%2C4-Trimethylbenzene;1%2C2-Dichloroethane;1%2C2-Dichloropropane;1%2C3%2C5-Trimethylbenzene;1%2C3-Dichloropropane;1%2C3-Dichloropropene;1%2C4-Dioxane;2%2C2-Dichloropropane;Barium;Benzene;Beryllium;Bromobenzene;Bromoform;Bromomethane;Carbon tetrachloride;Chlorate;Chloroethane;Chloromethane;cis-1%2C2-Dichloroethylene;Dibromochloromethane;Dibromomethane;Dichloromethane (methylene chloride);Ethylbenzene;Fluoride;Haloacetic acids (HAA5);m-Dichlorobenzene;Monochlorobenzene (chlorobenzene);MTBE;n-Butylbenzene;n-Propylbenzene;Naphthalene;Nitrite;o-Chlorotoluene;o-Dichlorobenzene;p-Chlorotoluene;p-Dichlorobenzene;Strontium;Styrene;Tetrachloroethylene (perchloroethylene);Toluene;trans-1%2C2-Dichloroethylene;Trichloroethylene;Vanadium;Vinyl chloride,2012-2017,Surface water
Waterbury Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Middlebury, Prospect,107271,https://www.ewg.org/tapwater/system.php?pws=CT1510011,5,16 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Nitrate;Nitrate and nitrite;Nitrite;Strontium;Vanadium,2012-2017,Surface water
Waterford WPCA,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Montville,new London,16578,https://www.ewg.org/tapwater/system.php?pws=CT1520071,4,12 ,Bromodichloromethane*;Chloroform*;Chromium (hexavalent);Total trihalomethanes (TTHMs);Barium*;Chlorate;Dibromochloromethane*;Fluoride*;Haloacetic acids (HAA5);Nitrate*;Nitrate and nitrite*;Strontium,2012-2017,Purchased surface water
Windham Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Mansfield,windham,21214,https://www.ewg.org/tapwater/system.php?pws=CT1630011,8,16 ,Bromodichloromethane;Chlorate;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Nitrate and nitrite;Strontium,2012-2017,Surface water
Artesian Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bear,hockessin,301000,https://www.ewg.org/tapwater/system.php?pws=DE0000552,14,43 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorohexane sulfonate (PFHXS);Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C4-Dioxane;4-Androstene-3%2C17-dione;Acetone;Aluminum;Atrazine;Barium;bis(2-chloroethyl) ether;Bromoform;Chlorate;Chlordane;Chlorodifluoromethane;Chromium (total);cis-1%2C2-Dichloroethylene;Cobalt;Di(2-ethylhexyl) phthalate;Di-n-butyl phthalate;Dibromoacetic acid;Dicamba;Dieldrin;Fluoride;Haloacetic acids (HAA5);Heptachlor epoxide;Manganese;Monochloroacetic acid;MTBE;Selenium;Strontium;Tetrachloroethylene (perchloroethylene);Vanadium,2012-2017,Purchased surface water
Bethany Bay Ocean View,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Millville, Delaware,34500,https://www.ewg.org/tapwater/system.php?pws=DE0000221,10,23 ,Arsenic;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;2%2C4-D;Barium;Bromochloroacetic acid;Bromoform;Chloromethane;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Pentachlorophenol;Selenium,2012-2017,Groundwater
Bethany Beach Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bethany Beach, Delaware,12000,https://www.ewg.org/tapwater/system.php?pws=DE0000556,6,13 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Bromoform;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Nitrate and nitrite,2012-2017,Groundwater
Camden District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Camden-wyoming, Delaware,15174,https://www.ewg.org/tapwater/system.php?pws=DE0000124,8,16 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Bromochloroacetic acid;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium,2012-2017,Groundwater
Dewey Beach Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Dewey Beach, Delaware,22400,https://www.ewg.org/tapwater/system.php?pws=DE0000825,8,17 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Atrazine*;Di(2-ethylhexyl) adipate*;Di(2-ethylhexyl) phthalate*;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Metolachlor*;Monochloroacetic acid*,2012-2017,Purchased groundwater
Dover Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Dover, Delaware,38000,https://www.ewg.org/tapwater/system.php?pws=DE0000571,11,25 ,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C4-Dioxane;Barium;Bromoform;Chlorate;Cobalt;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Selenium;Strontium;Vanadium;Xylenes (total),2012-2017,Groundwater
Long Neck Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Millsboro, Delaware,11180,https://www.ewg.org/tapwater/system.php?pws=DE0000625,6,12 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Barium;Chromium (total);Manganese;Mercury (inorganic);Selenium;Vanadium,2012-2017,Groundwater
Meadow District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Millsboro, Delaware,10500,https://www.ewg.org/tapwater/system.php?pws=DE0000271,6,14 ,Bromodichloromethane;Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Bromoform;Butyl benzyl phthalate;Chloroform;Chromium (total);Di(2-ethylhexyl) adipate;Di(2-ethylhexyl) phthalate;Manganese,2012-2017,Groundwater
Middletown Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Middletown, Delaware,16000,https://www.ewg.org/tapwater/system.php?pws=DE0000614,8,20 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Vanadium,2012-2017,Groundwater
Newark Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Newark, Delaware,36450,https://www.ewg.org/tapwater/system.php?pws=DE0000630,10,25 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Atrazine;Barium;Bromoform;Chlorate;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Dieldrin;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium;Tetrachloroethylene (perchloroethylene);Vanadium,2012-2017,Surface water
Rehoboth Beach Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Rehoboth Beach, Delaware,30000,https://www.ewg.org/tapwater/system.php?pws=DE0000723,7,14 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Atrazine;Di(2-ethylhexyl) adipate;Di(2-ethylhexyl) phthalate;Fluoride;Haloacetic acids (HAA5);Metolachlor;Monochloroacetic acid,2012-2017,Groundwater
Rehoboth District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Rehoboth Beach, Delaware,32700,https://www.ewg.org/tapwater/system.php?pws=DE0000991,8,23 ,Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Thallium;Total trihalomethanes (TTHMs);Barium;Bromoform;Chlorate;Chlorodifluoromethane;Chloroform;Chromium (total);Cobalt;Di(2-ethylhexyl) adipate;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Selenium;Strontium;Vanadium,2012-2017,Groundwater
Smyrna Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Smyrna, Delaware,11584,https://www.ewg.org/tapwater/system.php?pws=DE0000657,10,26 ,Bromodichloromethane;Bromoform;Chlordane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Bromochloroacetic acid;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Dichloroacetic acid;Dieldrin;Fluoride;Haloacetic acids (HAA5);Manganese;Metolachlor;Selenium;Strontium;Trichloroacetic acid;Xylenes (total),2012-2017,Groundwater
South Bethany,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bethany Beach, Delaware,15771,https://www.ewg.org/tapwater/system.php?pws=DE00A0323,10,25 ,1%2C2%2C3-Trichloropropane;Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Barium;Bromoform;Carbon tetrachloride;Chlorate;Di(2-ethylhexyl) phthalate;Di-n-butyl phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Nitrate and nitrite;Selenium;Strontium,2012-2017,Groundwater
Suez Water Delaware,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,New Castle,wilmington,97310,https://www.ewg.org/tapwater/system.php?pws=DE0000564,13,26 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Perfluoroheptanoic acid (PFHPA);Perfluorononanoic acid (PFNA);Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Di(2-ethylhexyl) adipate;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Strontium,2012-2017,Surface water
Sussex Shores Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bethany Beach, Delaware,12450,https://www.ewg.org/tapwater/system.php?pws=DE0000557,6,9 ,Bromodichloromethane;Bromoform;Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5),2012-2017,Groundwater
Wilmington Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Delaware Health and Social Services - Division of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wilmington, Delaware,107976,https://www.ewg.org/tapwater/system.php?pws=DE0000663,10,31 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C4-Dioxane;Atrazine;Barium;Bromide;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (total);Dalapon;Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexachlorocyclopentadiene;Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Simazine;Strontium;Vanadium,2012-2017,Surface water
D.C. Water and Sewer Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Army Corps of Engineers and EPA Region 3%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Washington, District Of Columbia,632323,https://www.ewg.org/tapwater/system.php?pws=DC0000002,9,36 ,Arsenic*;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate*;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum*;Antimony*;Atrazine*;Barium*;Bromochloroacetic acid;Bromoform;Caffeine*;Chlorate;Cyanide*;Dalapon*;DCPA mono- and di-acid degradates*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Lithium*;Manganese*;Metolachlor*;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;N-Nitrosodi-N-butylamine*;N-Nitrosodimethylamine (NDMA)*;Perchlorate*;Simazine*;Strontium;Thorium*;Vanadium,2012-2017,Purchased surface water
Joint Base Anacostia - Bolling,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Army Corps of Engineers and EPA Region 3%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Washington, District Of Columbia,16559,https://www.ewg.org/tapwater/system.php?pws=DC0000004,1,2 ,Total trihalomethanes (TTHMs);Haloacetic acids (HAA5),2012-2017,Purchased surface water
Naval Station Washington - WNY,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Army Corps of Engineers and EPA Region 3%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Washington, District Of Columbia,15690,https://www.ewg.org/tapwater/system.php?pws=DC0000003,7,19 ,Bromodichloromethane*;Chloroform*;Chromium (hexavalent);Dibromochloromethane*;Dichloroacetic acid*;Total trihalomethanes (TTHMs);Trichloroacetic acid*;Bromochloroacetic acid*;Bromochloromethane;Bromoform*;Chlorate;Chromium (total);Dibromoacetic acid*;Haloacetic acids (HAA5);Molybdenum*;Monobromoacetic acid*;Monochloroacetic acid*;Strontium;Vanadium,2012-2017,Purchased surface water
Altamonte Springs Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Altamonte Springs, Florida,55576,https://www.ewg.org/tapwater/system.php?pws=FL3590026,1,10 ,Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Molybdenum;Nitrate;Strontium,2012-2017,Groundwater
Atlantic Beach Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Atlantic Beach, Florida,26172,https://www.ewg.org/tapwater/system.php?pws=FL2160200,2,8 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Strontium,2012-2017,Groundwater
Auburn Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Crestview, Florida,22015,https://www.ewg.org/tapwater/system.php?pws=FL1460035,5,18 ,Arsenic;Carbon tetrachloride;Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);1%2C1%2C1-Trichloroethane;Barium;Chromium (total);Cyanide;Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Molybdenum;Nitrite;Strontium;Toluene;Vanadium,2012-2017,Groundwater
Bay County Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Panama City, Florida,20807,https://www.ewg.org/tapwater/system.php?pws=FL1030050,2,11 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium,2012-2017,Surface water
Beverly Hills / Rolling Oaks Subdivision,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Beverly Hills, Florida,12426,https://www.ewg.org/tapwater/system.php?pws=FL6090150,4,14 ,Arsenic;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Heptachlor epoxide;Silver;Strontium;Vanadium,2012-2017,Groundwater
