Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
California Water Service - Bear Gulch,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bear Gulch, California,58432,https://www.ewg.org/tapwater/system.php?pws=CA4110006,6,18 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monochloroacetic acid;Strontium;Uranium;Vanadium
California Water Service - Livermore,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Livermore, California,56700,https://www.ewg.org/tapwater/system.php?pws=CA0110003,11,33 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Antimony;Barium;Beryllium;Bromoform;Cadmium;Chlorate;Chlorodifluoromethane;Chromium (total);Dibromoacetic acid;Dichlorodifluoromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;N-Nitrosodimethylamine (NDMA);Radium%2C combined (-226 & -228);Selenium;Strontium;Uranium;Vanadium
California Water Service - San Carlos,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,San Carlos, California,29554,https://www.ewg.org/tapwater/system.php?pws=CA4110007,6,16 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5);Molybdenum*;Monochloroacetic acid;Strontium;Vanadium
California Water Service - San Mateo,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,San Mateo, California,101004,https://www.ewg.org/tapwater/system.php?pws=CA4110008,7,19 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Molybdenum;Monochloroacetic acid;Strontium;Vanadium
California Water Service - South San Francisco,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,South San Francisco, California,56110,https://www.ewg.org/tapwater/system.php?pws=CA4110009,10,32 ,2012-2017,Purchased surface water,1%2C2%2C3-Trichloropropane;Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Antimony;Barium;Beryllium;Bromoform;Cadmium;Chlorate;Chromium (total);DCPA mono- and di-acid degradates;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Molybdenum;Monochloroacetic acid;Selenium;Strontium;Thallium;Uranium;Vanadium
California Water Service - Stockton,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Stockton, California,185346,https://www.ewg.org/tapwater/system.php?pws=CA3910001,12,36 ,2012-2017,Purchased surface water,1%2C2%2C3-Trichloropropane;Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,1%2C2-Dichloropropane;1%2C4-Dioxane;Aluminum;Antimony;Barium;Beryllium;Bromoform;Cadmium;Chlorate;Chromium (total);Dibromoacetic acid;Dichlorodifluoromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Selenium;Strontium;Strontium-90;Tetrachloroethylene (perchloroethylene);Thallium;Trichloroethylene;Vanadium
California Water Service Company - Dominguez,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Los Angeles County, California,142111,https://www.ewg.org/tapwater/system.php?pws=CA1910033,7,27 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromochloroacetic acid;Bromochloromethane;Chlorate;Chromium (hexavalent);Chromium (total);Dibromoacetic acid;Dichloromethane (methylene chloride);Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;N-Nitrosodimethylamine (NDMA);Selenium;Strontium;Vanadium
California Water Service Company - East Los Angeles,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Los Angeles County, California,150446,https://www.ewg.org/tapwater/system.php?pws=CA1910036,13,39 ,2012-2017,Purchased surface water,1%2C4-Dioxane;Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Perfluorooctane sulfonate (PFOS);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid,1%2C1-Dichloroethylene;4-Androstene-3%2C17-dione;Aluminum;Antimony;Barium;Beryllium;Bromoform;Cadmium;Chlorate;Chlorodifluoromethane;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl ethyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;N-Nitrosodimethylamine (NDMA);Selenium;Strontium;Trichloroethylene;Uranium;Vanadium
California Water Service Company - Hermosa / Redondo Beach,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Los Angeles County, California,95605,https://www.ewg.org/tapwater/system.php?pws=CA1910134,10,25 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,Chlorate;Chlorodifluoromethane;Chromium (hexavalent);Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;N-Nitrosodimethylamine (NDMA);Selenium;Strontium;Vanadium
California Water Service Company - Palos Verde,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Los Angeles County, California,69883,https://www.ewg.org/tapwater/system.php?pws=CA1910104,14,30 ,2012-2017,Purchased surface water,Arsenic*;Bromate*;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate*;Nitrate and nitrite*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium*,Barium*;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese*;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;N-Nitrosodimethylamine (NDMA);Strontium;Strontium-90*;Tritium*;Vanadium
California Water Service Company - Westlake,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ventura County, California,19451,https://www.ewg.org/tapwater/system.php?pws=CA5610016,13,41 ,2012-2017,Purchased surface water,Arsenic*;Bromate*;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate*;Radium%2C combined (-226 & -228)*;Radon*;Total trihalomethanes (TTHMs);Uranium*,Aluminum*;Barium*;Bromochloromethane*;Cadmium*;Chlorate;Chromium (total);Dibromoacetic acid;Dibromomethane*;Dichloromethane (methylene chloride)*;Dinoseb*;Fluoride;Haloacetic acids (HAA5);Manganese*;Mercury (inorganic)*;Molybdenum;Monobromoacetic acid;Monochloroacetic acid*;N-Nitrosodimethylamine (NDMA)*;Nitrate and nitrite*;Nitrite*;Perchlorate*;Selenium*;Strontium;Strontium-90*;Trichloroacetic acid;Tritium*;Vanadium
Camarillo Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Camarillo, California,45500,https://www.ewg.org/tapwater/system.php?pws=CA5610019,10,23 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Uranium,Chlorate;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Selenium;Strontium;Trichloroacetic acid;Vanadium
Camp Pendleton (North),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Camp Pendleton, California,15600,https://www.ewg.org/tapwater/system.php?pws=CA3710700,11,23 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluorohexane sulfonate (PFHXS);Total trihalomethanes (TTHMs);Uranium,Chlorate;Chromium (total);Dibromoacetic acid;Dibromomethane;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Perfluoroheptanoic acid (PFHPA);Strontium;Vanadium
Camp Pendleton (South),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Camp Pendleton, California,39400,https://www.ewg.org/tapwater/system.php?pws=CA3710702,15,32 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Perfluorohexane sulfonate (PFHXS);Perfluorononanoic acid (PFNA);Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Uranium,1%2C4-Dioxane;Barium;Bromochloroacetic acid;Chlorate;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Perfluorobutane sulfonate (PFBS);Perfluoroheptanoic acid (PFHPA);Strontium;Trichloroacetic acid;Vanadium
Camrosa Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ventura County, California,30000,https://www.ewg.org/tapwater/system.php?pws=CA5610063,8,30 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),1%2C4-Dioxane;Barium;Bromochloroacetic acid;Chlorate;Chloroform;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Molybdenum;Monobromoacetic acid;Perchlorate;Selenium;Strontium;Trichloroacetic acid;Trichlorofluoromethane;Trichlorotrifluoroethane;Vanadium
Carmichael Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Carmichael, California,40000,https://www.ewg.org/tapwater/system.php?pws=CA3410004,9,23 ,2012-2017,Purchased groundwater under influence of surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Nitrate;Nitrate and nitrite;Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromoform;Chlorate;Dibromoacetic acid;Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;tert-Butyl alcohol;Uranium;Vanadium
Carpinteria Valley Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Carpinteria, California,16050,https://www.ewg.org/tapwater/system.php?pws=CA4210001,10,24 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Selenium;Strontium;Vanadium
CCWD Ebbetts Pass Improvement District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Calaveras County, California,14340,https://www.ewg.org/tapwater/system.php?pws=CA0510016,5,12 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Chromium (hexavalent);Haloacetic acids (HAA5);Monochloroacetic acid;Strontium
CCWD%2C Jenny Lind,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Calaveras County, California,10170,https://www.ewg.org/tapwater/system.php?pws=CA0510006,8,17 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
Cerritos - City%2C Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Cerritos, California,49041,https://www.ewg.org/tapwater/system.php?pws=CA1910019,6,21 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Dibromochloromethane;Total trihalomethanes (TTHMs);Uranium,1%2C4-Dioxane;Barium;Chlorate;Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;Nitrate;Strontium;Trichloroethylene;Vanadium
Chowchilla City Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Chowchilla, California,11759,https://www.ewg.org/tapwater/system.php?pws=CA2010001,3,12 ,2012-2017,Groundwater,Arsenic;Chromium (hexavalent);Nitrate,Barium;Chlorate;Chromium (total);Cobalt;Fluoride;Molybdenum;Strontium;Vanadium
Citrus Heights Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Citrus Heights, California,66500,https://www.ewg.org/tapwater/system.php?pws=CA3410006,4,15 ,2012-2017,Purchased surface water,Chromium (hexavalent);Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),4-Androstene-3%2C17-dione;Barium;Chlorate;Chlorodifluoromethane;Chromium (total);Haloacetic acids (HAA5);Strontium;Testosterone;Uranium;Vanadium
City of Adelanto,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Adelanto, California,31765,https://www.ewg.org/tapwater/system.php?pws=CA3610001,8,23 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs);Uranium,Barium;Chlorate;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Nitrate;Nitrate and nitrite;Strontium;Vanadium
City of Alhambra,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Alhambra, California,84679,https://www.ewg.org/tapwater/system.php?pws=CA1910001,11,22 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,Chlorate;Chlorodifluoromethane;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Perchlorate;Strontium;Trichloroethylene;Vanadium
City of American Canyon,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,American Canyon, California,20082,https://www.ewg.org/tapwater/system.php?pws=CA2810005,6,17 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromoform;Chlorate;Dibromoacetic acid;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;Nitrate;Strontium;Vanadium
City of Anaheim,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Anaheim, California,450000,https://www.ewg.org/tapwater/system.php?pws=CA3010001,14,32 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Perfluorooctane sulfonate (PFOS);Perfluorooctanoic acid (PFOA);Radon;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,1%2C4-Dioxane;Aluminum;Barium;Bromide;Bromochloroacetic acid;Chlorate;Chlorodifluoromethane;Chromium (total);Dibromoacetic acid;Dichlorodifluoromethane;Fluoride;Haloacetic acids (HAA5);Molybdenum;Radium%2C combined (-226 & -228);Strontium;Trichloroethylene;Vanadium
City of Anderson,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Anderson, California,11127,https://www.ewg.org/tapwater/system.php?pws=CA4510001,3,6 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228),Strontium;Vanadium
City of Antioch,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Antioch, California,103833,https://www.ewg.org/tapwater/system.php?pws=CA0710001,2,11 ,2012-2017,Surface water,Chromium (hexavalent);Total trihalomethanes (TTHMs),Dichloromethane (methylene chloride);Fluoride;Haloacetic acids (HAA5);Molybdenum;Nitrate;Nitrate and nitrite;Strontium;Vanadium
City of Arcadia,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Arcadia, California,57639,https://www.ewg.org/tapwater/system.php?pws=CA1910003,11,23 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Bromoform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroethylene;Uranium,Aluminum;Chlorate;Chloroform;Chromium (total);Di(2-ethylhexyl) phthalate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
City of Arcata,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Arcata, California,16651,https://www.ewg.org/tapwater/system.php?pws=CA1210001,7,13 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (total);Haloacetic acids (HAA5);Monochloroacetic acid;Strontium;Vanadium
City of Atwater,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Atwater, California,29050,https://www.ewg.org/tapwater/system.php?pws=CA2410001,9,24 ,2012-2017,Groundwater,1%2C2%2C3-Trichloropropane;1%2C2-Dibromo-3-chloropropane (DBCP);Arsenic;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,Barium;Bromodichloromethane;Bromoform;Chlorate;Chloroform;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Radium%2C combined (-226 & -228);Strontium;Vanadium
City of Avenal,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Avenal, California,16236,https://www.ewg.org/tapwater/system.php?pws=CA1610002,8,19 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromochloroacetic acid;Chlorate;Chromium (total);Dibromoacetic acid;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium
